Method,Runtime,CO2 Emissions,Energy Consumption
LOCF,2.154228,1.614138e-08,7e-06
NOCB,2.155857,1.615003e-08,7e-06
Linear Interpolation,2.230503,1.68889e-08,7e-06
Linear Regression,21.789384,8.447102e-05,0.000316
LightGBM,39.739686,9.092882e-07,0.000383
LOCF,2.145926,1.606079e-08,7e-06
NOCB,2.144596,1.604532e-08,7e-06
Linear Interpolation,2.183431,1.848882e-06,7e-06
Linear Regression,4.566452,1.381543e-05,5.2e-05
LightGBM,14.518663,3.750497e-05,0.00014
LOCF,2.167992,2e-06,7e-06
NOCB,2.164271,2e-06,7e-06
Linear Interpolation,2.26134,2e-06,7e-06
Linear Regression,30.240112,0.000113,0.000424
LightGBM,84.376113,0.000218,0.000815
LOCF,2.158264,2e-06,7e-06
NOCB,2.146451,2e-06,7e-06
Linear Interpolation,2.220109,2e-06,7e-06
Linear Regression,14.118432,5.3e-05,0.0002
LightGBM,37.615602,9.9e-05,0.000371
LOCF,2.163163,2e-06,7e-06
NOCB,2.159007,2e-06,7e-06
Linear Interpolation,2.272344,2e-06,7e-06
Linear Regression,33.388098,1e-06,0.000465
LightGBM,82.385752,0.000213,0.000795
LOCF,2.146897,1.606479e-08,7e-06
NOCB,2.141966,1.803027e-06,7e-06
Linear Interpolation,2.184505,1.849498e-06,7e-06
Linear Regression,4.728055,1.393775e-05,5.2e-05
LightGBM,11.452648,2.888047e-05,0.000108
LOCF,2.143466,2e-06,7e-06
NOCB,2.14627,2e-06,7e-06
Linear Interpolation,2.155174,2e-06,7e-06
Linear Regression,2.241431,2e-06,8e-06
LightGBM,3.052527,4e-06,1.4e-05
LOCF,2.151725,2e-06,7e-06
NOCB,2.148409,2e-06,7e-06
Linear Interpolation,2.208904,2e-06,7e-06
Linear Regression,11.324867,4.3e-05,0.000159
LightGBM,20.460495,5.2e-05,0.000194
LOCF,2.159504,1.618759e-08,7e-06
NOCB,2.160737,1.823551e-06,7e-06
Linear Interpolation,2.253922,1.711497e-08,7e-06
Linear Regression,22.960919,8.860112e-05,0.000331
LightGBM,49.269654,0.000126385,0.000472
LOCF,2.148089,1.80994e-06,7e-06
NOCB,2.1414,1.803114e-06,7e-06
Linear Interpolation,2.177986,1.842488e-06,7e-06
Linear Regression,3.5266,7.743562e-08,3.3e-05
LightGBM,7.60837,1.844891e-05,6.9e-05
LOCF,2.141412,2e-06,7e-06
NOCB,2.142172,2e-06,7e-06
Linear Interpolation,2.148291,2e-06,7e-06
Linear Regression,2.159233,2e-06,7e-06
LightGBM,2.346312,3e-06,9e-06
LOCF,2.145498,2e-06,7e-06
NOCB,2.146538,2e-06,7e-06
Linear Interpolation,2.162948,2e-06,7e-06
Linear Regression,2.319108,3e-06,1e-05
LightGBM,3.584637,6e-06,2.2e-05
LOCF,2.14974,1.811539e-06,7e-06
NOCB,2.144741,1.60442e-08,7e-06
Linear Interpolation,2.173204,1.837512e-06,7e-06
Linear Regression,2.997551,4.676035e-08,2e-05
LightGBM,7.005926,1.404997e-07,5.9e-05
LOCF,2.162965,1.622299e-08,7e-06
NOCB,2.159226,1.822153e-06,7e-06
Linear Interpolation,2.244107,1.701695e-08,7e-06
Linear Regression,25.325755,9.595132e-05,0.000359
LightGBM,53.366638,0.0001378619,0.000515
