Method,MAE,NRMSE
LOCF,0.04884,0.090774
NOCB,0.045223,0.086682
Linear Interpolation,0.034791,0.054039
Linear Regression,0.069937,0.073607
LightGBM,0.033052,0.043035
LOCF,23.4717,0.043902
NOCB,22.528039,0.038515
Linear Interpolation,12.123316,0.025622
Linear Regression,54.376912,0.086552
LightGBM,32.56143,0.055352
LOCF,1.377876,0.049292
NOCB,1.376986,0.048504
Linear Interpolation,0.96217,0.033646
Linear Regression,2.021377,0.061842
LightGBM,1.501202,0.051801
LOCF,8.159948,0.047254
NOCB,8.340805,0.048955
Linear Interpolation,4.053805,0.023405
Linear Regression,14.833534,0.071665
LightGBM,9.67348,0.049504
LOCF,0.363972,0.069281
NOCB,0.36531,0.071935
Linear Interpolation,0.205538,0.035697
Linear Regression,0.64774,0.072831
LightGBM,0.290759,0.046412
LOCF,9.342301,0.083095
NOCB,10.001459,0.092048
Linear Interpolation,8.129967,0.069643
Linear Regression,10.061899,0.082931
LightGBM,8.997528,0.077781
LOCF,31.694419,0.107922
NOCB,30.650381,0.102536
Linear Interpolation,12.732347,0.036767
Linear Regression,39.024144,0.08856
LightGBM,19.291235,0.049606
LOCF,0.096825,0.031314
NOCB,0.092454,0.029988
Linear Interpolation,0.086975,0.021086
Linear Regression,1.561421,0.096596
LightGBM,0.433228,0.031939
LOCF,2.612621,0.037717
NOCB,2.650307,0.038695
Linear Interpolation,1.552751,0.025245
Linear Regression,2.030831,0.023401
LightGBM,1.580877,0.019209
LOCF,2.734784,0.048866
NOCB,2.608587,0.046352
Linear Interpolation,1.898691,0.034382
Linear Regression,6.643052,0.087126
LightGBM,3.683628,0.052774
LOCF,28.028569,0.067717
NOCB,28.18071,0.067429
Linear Interpolation,12.419002,0.029914
Linear Regression,47.205427,0.090546
LightGBM,32.466237,0.064408
LOCF,3.345336,0.047671
NOCB,3.01961,0.034637
Linear Interpolation,1.663674,0.02674
Linear Regression,3.17064,0.044065
LightGBM,2.123028,0.022119
LOCF,1.117128,0.129857
NOCB,1.100241,0.127874
Linear Interpolation,0.850395,0.090336
Linear Regression,1.5687,0.129784
LightGBM,0.945114,0.093422
LOCF,5.834937,0.077228
NOCB,5.867541,0.077959
Linear Interpolation,4.047215,0.053164
Linear Regression,6.371866,0.080177
LightGBM,5.034916,0.064714
