Method,Runtime,CO2 emissions,Energy Consumption
LOCF,0.771715,2.093862e-08,5.312792e-08
NOCB,0.772528,2.090545e-08,5.304378e-08
Linear Interpolation,0.785455,2.128948e-08,5.401817e-08
Linear Regression,0.797825,2.15563e-08,5.469518e-08
LightGBM,0.926158,2.543181e-08,6.452859e-08
LOCF,0.771678,2.119374e-08,5.377525e-08
NOCB,0.77704,2.128846e-08,5.401558e-08
Linear Interpolation,0.78592,2.154427e-08,5.466464e-08
Linear Regression,0.802267,2.2027e-08,5.58895e-08
LightGBM,0.973799,2.714832e-08,6.888392e-08
LOCF,0.77504,2.184648e-08,5.543145e-08
NOCB,0.77998,2.196958e-08,5.574381e-08
Linear Interpolation,0.828167,2.33954e-08,5.936155e-08
Linear Regression,1.417447,5.780299e-08,1.466646e-07
LightGBM,2.840523,8.715853e-08,2.211489e-07
LOCF,0.767586,2.286713e-08,5.802118e-08
NOCB,0.77176,2.29087e-08,5.812664e-08
Linear Interpolation,0.798146,2.341144e-08,5.940225e-08
Linear Regression,0.81208,2.418938e-08,6.137614e-08
LightGBM,1.116253,3.387835e-08,8.596013e-08
LOCF,0.767726,2.399539e-08,6.088393e-08
NOCB,0.772356,2.410953e-08,6.117354e-08
Linear Interpolation,0.81185,2.458679e-08,6.23845e-08
Linear Regression,0.809981,2.534722e-08,6.431396e-08
LightGBM,1.055141,3.357409e-08,8.518813e-08
LOCF,0.771574,2.475042e-08,6.279967e-08
NOCB,0.773277,2.480247e-08,6.293175e-08
Linear Interpolation,0.78983,2.530113e-08,6.419701e-08
Linear Regression,0.853017,2.752482e-08,6.983922e-08
LightGBM,1.451955,4.819042e-08,1.222744e-07
LOCF,0.768457,2.579361e-08,6.544659e-08
NOCB,0.774438,2.588736e-08,6.568445e-08
Linear Interpolation,0.797074,2.671219e-08,6.777731e-08
Linear Regression,0.858066,2.88234e-08,7.313412e-08
LightGBM,1.415784,4.896751e-08,1.242461e-07
LOCF,0.769045,2.635995e-08,6.688357e-08
NOCB,0.774364,2.646134e-08,6.714082e-08
Linear Interpolation,0.780559,2.676596e-08,6.791373e-08
Linear Regression,0.798574,2.735175e-08,6.940007e-08
LightGBM,1.000103,3.480265e-08,8.830538e-08
LOCF,0.770486,2.668848e-08,6.771716e-08
NOCB,0.773023,2.67697e-08,6.792323e-08
Linear Interpolation,0.793398,2.748192e-08,6.973036e-08
Linear Regression,0.843654,2.935092e-08,7.447261e-08
LightGBM,1.190183,4.212345e-08,1.068806e-07
